"city","city_code","distance_bin","r_mid_km","f_r","p_r","pi_r"
"Tianjin","TJN","[41.5, 42.0)","41.75","7779","42","185.214285714286"
"Tianjin","TJN","[42.0, 42.5)","42.25","9814","63","155.777777777778"
"Tianjin","TJN","[42.5, 43.0)","42.75","7694","52","147.961538461538"
"Tianjin","TJN","[43.0, 43.5)","43.25","8881","66","134.560606060606"
"Tianjin","TJN","[43.5, 44.0)","43.75","5842","70","83.4571428571429"
"Tianjin","TJN","[44.0, 44.5)","44.25","4315","60","71.9166666666667"
"Tianjin","TJN","[44.5, 45.0)","44.75","15495","97","159.742268041237"
"Tianjin","TJN","[45.0, 45.5)","45.25","7014","48","146.125"
"Tianjin","TJN","[45.5, 46.0)","45.75","7230","72","100.416666666667"
"Tianjin","TJN","[46.0, 46.5)","46.25","5847","54","108.277777777778"
"Tianjin","TJN","[46.5, 47.0)","46.75","14282","59","242.067796610169"
"Tianjin","TJN","[47.0, 47.5)","47.25","6095","56","108.839285714286"
"Tianjin","TJN","[47.5, 48.0)","47.75","6067","64","94.796875"
"Tianjin","TJN","[48.0, 48.5)","48.25","5296","60","88.2666666666667"
"Tianjin","TJN","[48.5, 49.0)","48.75","5026","59","85.1864406779661"
"Tianjin","TJN","[49.0, 49.5)","49.25","2962","42","70.5238095238095"
"Tianjin","TJN","[49.5, 50.0)","49.75","2301","34","67.6764705882353"
"Tianjin","TJN","[50.0, 50.5)","50.25","2456","31","79.2258064516129"
"Tianjin","TJN","[50.5, 51.0)","50.75","3980","34","117.058823529412"
"Tianjin","TJN","[51.0, 51.5)","51.25","2924","44","66.4545454545455"
"Tianjin","TJN","[51.5, 52.0)","51.75","3798","26","146.076923076923"
"Tianjin","TJN","[52.0, 52.5)","52.25","1042","20","52.1"
"Tianjin","TJN","[52.5, 53.0)","52.75","1505","16","94.0625"
"Tianjin","TJN","[53.0, 53.5)","53.25","1594","18","88.5555555555556"
"Tianjin","TJN","[53.5, 54.0)","53.75","351","10","35.1"
"Tianjin","TJN","[54.0, 54.5)","54.25","1245","12","103.75"
"Tianjin","TJN","[54.5, 55.0)","54.75","1212","17","71.2941176470588"
"Tianjin","TJN","[55.0, 55.5)","55.25","691","12","57.5833333333333"
"Tianjin","TJN","[55.5, 56.0)","55.75","1327","10","132.7"
"Tianjin","TJN","[56.0, 56.5)","56.25","279","4","69.75"
"Tianjin","TJN","[56.5, 57.0)","56.75","1521","20","76.05"
"Tianjin","TJN","[57.0, 57.5)","57.25","227","4","56.75"
"Tianjin","TJN","[57.5, 58.0)","57.75","438","4","109.5"
"Tianjin","TJN","[58.0, 58.5)","58.25","883","2","441.5"
